# Creation Date: 2018-Jan-09
|    ion |       wave | NIST | Instr | amplitude |      Source |
|  Th II |  3064.6346 |    1 |     0 |         6 |        NIST |
|  Th II |  3064.8066 |    1 |     0 |        13 |        NIST |
|   Th I |  3065.2868 |    1 |     0 |         3 |        NIST |
|  Th II |  3065.9294 |    1 |     0 |       130 | NIST+MURPHY |
|  Ar II |  3066.0110 |    1 |     0 |         0 |        NIST |
|   Th I |  3066.2049 |    1 |     0 |        26 |        NIST |
| UNKNWN |  3066.2201 |    0 |     0 |         1 |      MURPHY |
|  Ar II |  3066.2910 |    1 |     0 |         0 |        NIST |
|   Th I |  3066.5747 |    1 |     0 |       240 | NIST+MURPHY |
|  Th II |  3066.8210 |    1 |     0 |       440 | NIST+MURPHY |
|  Th II |  3067.1983 |    1 |     0 |        27 |        NIST |
|  Th II |  3067.3031 |    1 |     0 |       360 | NIST+MURPHY |
|  Ar II |  3067.7800 |    1 |     0 |         6 |        NIST |
|   Th I |  3068.0544 |    1 |     0 |       170 |        NIST |
|   Th I |  3068.1614 |    1 |     0 |        43 |        NIST |
|  Th II |  3068.6208 |    1 |     0 |      2800 | NIST+MURPHY |
|  Th II |  3068.8006 |    1 |     0 |        34 |        NIST |
|  Th II |  3068.8477 |    1 |     0 |        88 |        NIST |
|  Th II |  3069.1566 |    1 |     0 |       190 |        NIST |
|   Th I |  3069.7992 |    1 |     0 |      1200 |        NIST |
|  Th II |  3069.8262 |    1 |     0 |        82 |        NIST |
|  Th II |  3069.8739 |    1 |     0 |       730 |        NIST |
|  Th II |  3069.9626 |    1 |     0 |       130 |        NIST |
|  Th II |  3070.1476 |    1 |     0 |       340 | NIST+MURPHY |
|  Th II |  3070.5281 |    1 |     0 |       170 |        NIST |
|  Th II |  3070.5860 |    1 |     0 |        34 |        NIST |
|  Th II |  3070.7432 |    1 |     0 |        34 |        NIST |
|  Th II |  3070.9305 |    1 |     0 |       120 |        NIST |
|  Th II |  3071.0132 |    1 |     0 |       150 |        NIST |
|  Th II |  3071.2222 |    1 |     0 |        34 |        NIST |
|  Th II |  3071.7085 |    1 |     0 |      1300 | NIST+MURPHY |
|  Th II |  3071.8351 |    1 |     0 |       650 |        NIST |
|  Th II |  3072.0164 |    1 |     0 |         6 |        NIST |
|  Th II |  3072.0874 |    1 |     0 |       100 |        NIST |
|  Th II |  3072.3885 |    1 |     0 |         6 |        NIST |
|  Ar II |  3072.5500 |    1 |     0 |         0 |        NIST |
|  Th II |  3072.6906 |    1 |     0 |        34 |        NIST |
|  Th II |  3073.0075 |    1 |     0 |      2100 | NIST+MURPHY |
|  Th II |  3073.7179 |    1 |     0 |       740 | NIST+MURPHY |
|  Th II |  3073.9819 |    1 |     0 |        13 |        NIST |
|  Th II |  3074.3252 |    1 |     0 |        79 |        NIST |
| UNKNWN |  3074.6970 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3074.9341 |    1 |     0 |         6 |        NIST |
|  Th II |  3075.0642 |    1 |     0 |         6 |        NIST |
|  Th II |  3075.9498 |    1 |     0 |      1500 | NIST+MURPHY |
|  Th II |  3076.1864 |    1 |     0 |        55 |        NIST |
|   Th I |  3076.5805 |    1 |     0 |       170 |        NIST |
|  Th II |  3076.7338 |    1 |     0 |       200 | NIST+MURPHY |
|   Th I |  3076.8316 |    1 |     0 |         8 |        NIST |
|  Th II |  3076.9286 |    1 |     0 |       300 |        NIST |
|   Th I |  3077.3027 |    1 |     0 |        99 | NIST+MURPHY |
|  Th II |  3078.1649 |    1 |     0 |        27 |        NIST |
|  Th II |  3078.2329 |    1 |     0 |       490 | NIST+MURPHY |
|   Th I |  3078.4940 |    1 |     0 |        43 |        NIST |
|   Th I |  3078.6111 |    1 |     0 |       560 | NIST+MURPHY |
|  Th II |  3078.8258 |    1 |     0 |       330 | NIST+MURPHY |
|   Th I |  3078.9942 |    1 |     0 |         5 |        NIST |
|  Th II |  3079.6273 |    1 |     0 |       360 |        NIST |
|  Th II |  3079.7222 |    1 |     0 |      3100 | NIST+MURPHY |
|  Th II |  3079.9369 |    1 |     0 |       100 |        NIST |
|   Th I |  3080.4679 |    1 |     0 |        90 |        NIST |
|  Th II |  3080.7819 |    1 |     0 |       200 | NIST+MURPHY |
|  Th II |  3081.1116 |    1 |     0 |      3100 | NIST+MURPHY |
|   Th I |  3081.4878 |    1 |     0 |         5 |        NIST |
|  Th II |  3081.6249 |    1 |     0 |        55 |        NIST |
|  Th II |  3081.7288 |    1 |     0 |       350 |        NIST |
|  Th II |  3081.9269 |    1 |     0 |       160 |        NIST |
|  Th II |  3082.5545 |    1 |     0 |       320 |        NIST |
|  Th II |  3082.8760 |    1 |     0 |       840 | NIST+MURPHY |
|  Th II |  3083.0481 |    1 |     0 |       650 |        NIST |
|  Th II |  3083.0903 |    1 |     0 |       550 |        NIST |
|   Th I |  3083.3998 |    1 |     0 |       230 | NIST+MURPHY |
|  Th II |  3083.5013 |    1 |     0 |        13 |        NIST |
