|  ion |        wave | NIST | amplitude | Instr |          Source |
| ThII | 3886.869574 |    1 |      5034 |    32 | Louis_Pepe_2007 |
|  ThI | 3888.017808 |    1 |    116315 |    32 | Louis_Pepe_2007 |
|  ThI |  3888.12199 |    1 |     21460 |    32 | Louis_Pepe_2007 |
|  ThI | 3890.644568 |    1 |      3139 |    32 | Louis_Pepe_2007 |
|  ThI | 3890.711447 |    1 |      1846 |    32 | Louis_Pepe_2007 |
|  ThI | 3891.008506 |    1 |      3106 |    32 | Louis_Pepe_2007 |
|  ThI | 3892.307444 |    1 |      3184 |    32 | Louis_Pepe_2007 |
| ArII |  3892.50443 |    1 |     18085 |    32 | Louis_Pepe_2007 |
|  ThI | 3892.622803 |    1 |      2427 |    32 | Louis_Pepe_2007 |
|  ThI | 3892.828887 |    1 |      7677 |    32 | Louis_Pepe_2007 |
| ArII | 3893.082045 |    1 |     50971 |    32 | Louis_Pepe_2007 |
| ThII | 3893.410089 |    1 |      2325 |    32 | Louis_Pepe_2007 |
|  ThI | 3894.755139 |    1 |      8892 |    32 | Louis_Pepe_2007 |
| ThII | 3895.512098 |    1 |       919 |    32 | Louis_Pepe_2007 |
|  ArI | 3895.763534 |    1 |     16986 |    32 | Louis_Pepe_2007 |
| ArII | 3896.354498 |    1 |      2802 |    32 | Louis_Pepe_2007 |
|  ThI | 3896.522947 |    1 |    129930 |    32 | Louis_Pepe_2007 |
|  ThI | 3898.882349 |    1 |      1779 |    32 | Louis_Pepe_2007 |
|  ThI | 3899.541818 |    1 |     46500 |    32 | Louis_Pepe_2007 |
|  ThI | 3899.613128 |    1 |      8747 |    32 | Louis_Pepe_2007 |
|  ThI | 3901.682294 |    1 |     19256 |    32 | Louis_Pepe_2007 |
| ArII | 3901.731712 |    1 |     11077 |    32 | Louis_Pepe_2007 |
| ThII |  3901.98325 |    1 |     17311 |    32 | Louis_Pepe_2007 |
| ThII |  3902.25774 |    1 |      1550 |    32 | Louis_Pepe_2007 |
|  ThI | 3902.767225 |    1 |     18965 |    32 | Louis_Pepe_2007 |
|  ThI | 3904.207971 |    1 |     53876 |    32 | Louis_Pepe_2007 |
|  ThI | 3904.587315 |    1 |      9824 |    32 | Louis_Pepe_2007 |
| ThII | 3905.188219 |    1 |      9696 |    32 | Louis_Pepe_2007 |
| ThII | 3906.292246 |    1 |      6488 |    32 | Louis_Pepe_2007 |
| ThII | 3906.463379 |    1 |       814 |    32 | Louis_Pepe_2007 |
|  ThI | 3908.266892 |    1 |      4654 |    32 | Louis_Pepe_2007 |
|  ThI | 3908.650147 |    1 |      4923 |    32 | Louis_Pepe_2007 |
|  ThI | 3909.855555 |    1 |      6974 |    32 | Louis_Pepe_2007 |
|  ThI | 3910.087432 |    1 |      5748 |    32 | Louis_Pepe_2007 |
|  ThI | 3910.245904 |    1 |     12448 |    32 | Louis_Pepe_2007 |
|  ThI | 3911.628686 |    1 |      2777 |    32 | Louis_Pepe_2007 |
|  ThI |  3911.88127 |    1 |      5738 |    32 | Louis_Pepe_2007 |
| ArII | 3912.684102 |    1 |      8416 |    32 | Louis_Pepe_2007 |
|  ThI | 3913.017161 |    1 |     95548 |    32 | Louis_Pepe_2007 |
|  ThI | 3913.061024 |    1 |     24469 |    32 | Louis_Pepe_2007 |
|  ThI | 3913.318558 |    1 |      1868 |    32 | Louis_Pepe_2007 |
| ThII | 3913.390215 |    1 |      4107 |    32 | Louis_Pepe_2007 |
| ThII | 3914.113541 |    1 |      3977 |    32 | Louis_Pepe_2007 |
|  ThI |  3914.19076 |    1 |      7271 |    32 | Louis_Pepe_2007 |
|  ThI |  3914.75387 |    1 |      4938 |    32 | Louis_Pepe_2007 |
| ThII | 3914.932115 |    1 |      5491 |    32 | Louis_Pepe_2007 |
| ArII |  3915.87698 |    1 |     26200 |    32 | Louis_Pepe_2007 |
|  ThI | 3916.403416 |    1 |      3464 |    32 | Louis_Pepe_2007 |
|  ThI | 3916.957559 |    1 |      5517 |    32 | Louis_Pepe_2007 |
|  ThI | 3917.526591 |    1 |    234600 |    32 | Louis_Pepe_2007 |
|  ThI | 3917.707548 |    1 |      3104 |    32 | Louis_Pepe_2007 |
| ThII | 3917.833573 |    1 |      3277 |    32 | Louis_Pepe_2007 |
| ThII | 3917.905871 |    1 |      2467 |    32 | Louis_Pepe_2007 |
|  ThI | 3918.378388 |    1 |     15959 |    32 | Louis_Pepe_2007 |
| ArII | 3918.877161 |    1 |      2458 |    32 | Louis_Pepe_2007 |
| ThII | 3919.117226 |    1 |      1200 |    32 | Louis_Pepe_2007 |
|  ThI | 3920.043654 |    1 |     19575 |    32 | Louis_Pepe_2007 |
|  ThI | 3920.133144 |    1 |     74920 |    32 | Louis_Pepe_2007 |
|  ThI |  3920.38514 |    1 |      6202 |    32 | Louis_Pepe_2007 |
|  ThI |  3921.16712 |    1 |      4461 |    32 | Louis_Pepe_2007 |
| ThII |  3921.42287 |    1 |      2345 |    32 | Louis_Pepe_2007 |
|  ThI | 3922.890679 |    1 |      2246 |    32 | Louis_Pepe_2007 |
| ThII | 3923.327818 |    1 |      1794 |    32 | Louis_Pepe_2007 |
|  ThI | 3924.910479 |    1 |     76716 |    32 | Louis_Pepe_2007 |
|  ThI | 3926.205097 |    1 |    229581 |    32 | Louis_Pepe_2007 |
|  ThI | 3926.330131 |    1 |     28853 |    32 | Louis_Pepe_2007 |
|  ThI |  3926.70818 |    1 |     12872 |    32 | Louis_Pepe_2007 |
| ArII | 3926.830742 |    1 |    216491 |    32 | Louis_Pepe_2007 |
| ArII | 3927.157411 |    1 |     18702 |    32 | Louis_Pepe_2007 |
| ThII | 3927.817459 |    1 |      1050 |    32 | Louis_Pepe_2007 |
