|  ion |       wave | NIST | Instr | amplitude |     Source |
| Kr I |   13886.65 |  1.0 |   0.0 |     30000 |       NIST |
| Ar I |   13911.28 |  1.0 |   0.0 |      6800 |       NIST |
| Ar I |   13914.36 |  1.0 |   0.0 |     18000 | U Kentucky |
| Xe I |    13923.4 |  1.0 |   0.0 |     39000 |       NIST |
| Kr I |   13927.85 |  1.0 |   0.0 |      9700 |       NIST |
| Kr I |   13942.81 |  1.0 |   0.0 |       500 |       NIST |
| Ne I |  14046.946 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |    14049.5 |  1.0 |   0.0 |     16000 |  Keck List |
| Ar I |  14097.493 |  1.0 |   0.0 |    110000 |       NIST |
| Kr I |   14108.15 |  1.0 |   0.0 |      6300 |       NIST |
| Xe I |    14132.0 |  1.0 |   0.0 |       700 |       NIST |
| Xe I |   14145.96 |  1.0 |   0.0 |     51000 |       NIST |
| Kr I |   14160.49 |  1.0 |   0.0 |      3250 |       NIST |
| Xe I |   14245.28 |  1.0 |   0.0 |      1000 |       NIST |
| Ne I | 14304.7431 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |    14344.5 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |   14345.17 |  1.0 |   0.0 |      5200 |       NIST |
| Kr I |    14351.4 |  1.0 |   0.0 |     55000 |       NIST |
| Xe I |   14368.83 |  1.0 |   0.0 |      7900 |       NIST |
| Xe I |   14388.71 |  1.0 |   0.0 |       500 |       NIST |
| Kr I |   14406.22 |  1.0 |   0.0 |     12000 |       NIST |
| Kr I |   14472.81 |  1.0 |   0.0 |      5500 |       NIST |
| Kr I |    14521.6 |  1.0 |   0.0 |      1000 |       NIST |
| Ar I |   14600.46 |  1.0 |   0.0 |      4800 |       NIST |
| Ar I |    14635.4 |  1.0 |   0.0 |       650 | U Kentucky |
| Ar I |   14638.41 |  1.0 |   0.0 |      1000 |       NIST |
| Ar I |    14653.2 |  1.0 |   0.0 |     12000 | U Kentucky |
| Ar I |   14664.81 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |   14719.57 |  1.0 |   0.0 |       900 |       NIST |
| Kr I | 14738.4687 |  1.0 |   0.0 |     24000 |       NIST |
| Ar I |   14743.17 |  1.0 |   0.0 |      6350 |       NIST |
| Kr I |   14766.72 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |   14769.52 |  1.0 |   0.0 |      1000 |       NIST |
| Xe I |   14790.74 |  1.0 |   0.0 |      1000 |       NIST |
