# Creation Date: 2023-10-30
# taken from linelist in https://www2.keck.hawaii.edu/inst/hires/observing.html
# and plots in https://www2.keck.hawaii.edu/inst/hires/ThAr_atlas.html
# converted to vacuum, and matched to NIST,
# see dev_algorithms/wavelengths/hires_ThAr_linelist/create_hires_ThAr_list.py in PypeIt-development-suite
# for wavelength ranges not covered in the Keck webpage, we use NIST+MURPHY from ThAr_lines.dat
|    ion |       wave | NIST | Instr | amplitude |      Source |
|  Th II |  3315.7807 |    1 |     0 |       650 |   Keck+NIST |
|   Th I |  3320.8653 |    1 |     0 |       740 |   Keck+NIST |
|  Th II |  3321.2557 |    1 |     0 |       880 |   Keck+NIST |
|   Th I |  3321.4316 |    1 |     0 |      1100 |   Keck+NIST |
|  Th II |  3322.4064 |    1 |     0 |      2200 |   Keck+NIST |
|   Th I |  3322.5297 |    1 |     0 |       970 |   Keck+NIST |
|   Th I |  3323.0490 |    1 |     0 |       770 |   Keck+NIST |
|  Th II |  3325.7091 |    1 |     0 |      2500 |   Keck+NIST |
|  Th II |  3326.0772 |    1 |     0 |      6600 |   Keck+NIST |
|  Th II |  3327.4221 |    1 |     0 |       290 |   Keck+NIST |
|   Th I |  3328.1501 |    1 |     0 |      1500 |   Keck+NIST |
|   Th I |  3330.6860 |    1 |     0 |       730 |   Keck+NIST |
|   Th I |  3331.4348 |    1 |     0 |     10000 |   Keck+NIST |
|   Th I |  3334.0875 |    1 |     0 |      4800 |   Keck+NIST |
|  Th II |  3335.5630 |    1 |     0 |      2700 |   Keck+NIST |
|  Th II |  3336.0229 |    1 |     0 |       510 |   Keck+NIST |
|  Th II |  3337.1211 |    1 |     0 |       110 |   Keck+NIST |
|  Th II |  3338.8301 |    1 |     0 |      2500 |   Keck+NIST |
|  Th II |  3339.3569 |    1 |     0 |       400 |   Keck+NIST |
|   Th I |  3341.6859 |    1 |     0 |       680 |   Keck+NIST |
|   Th I |  3344.1255 |    1 |     0 |       360 |   Keck+NIST |
|  Th II |  3344.5795 |    1 |     0 |       650 |   Keck+NIST |
|   Th I |  3346.1324 |    1 |     0 |       230 |   Keck+NIST |
|  Th II |  3347.5179 |    1 |     0 |       550 |   Keck+NIST |
|   Th I |  3347.9269 |    1 |     0 |       220 |   Keck+NIST |
|   Th I |  3349.7309 |    1 |     0 |      9400 |   Keck+NIST |
|   Th I |  3351.3143 |    1 |     0 |       240 |   Keck+NIST |
|  Ar II |  3351.8870 |    1 |     0 |       129 |   Keck+NIST |
|  Th II |  3352.1917 |    1 |     0 |      5200 |   Keck+NIST |
|  Th II |  3354.9122 |    1 |     0 |       290 |   Keck+NIST |
|  Th II |  3355.1434 |    1 |     0 |      1300 |   Keck+NIST |
|  Th II |  3355.5825 |    1 |     0 |       420 |   Keck+NIST |
|   Th I |  3356.0702 |    1 |     0 |      1000 |   Keck+NIST |
|  Th II |  3356.2228 |    1 |     0 |       400 |   Keck+NIST |
|  Th II |  3356.5324 |    1 |     0 |       900 |   Keck+NIST |
|  Th II |  3359.5670 |    1 |     0 |      3600 |   Keck+NIST |
|  Th II |  3360.7221 |    1 |     0 |       180 |   Keck+NIST |
|  Th II |  3361.3390 |    1 |     0 |       380 |   Keck+NIST |
|   Th I |  3361.9638 |    1 |     0 |      1800 |   Keck+NIST |
|   Th I |  3362.1635 |    1 |     0 |       690 |   Keck+NIST |
|  Th II |  3362.5847 |    1 |     0 |       740 |   Keck+NIST |
|  Th II |  3362.7025 |    1 |     0 |       670 |   Keck+NIST |
|  Th II |  3363.6423 |    1 |     0 |       440 |   Keck+NIST |
