# This spectrum, originally implemented in March 2004, was based on STIS
# observations and a 2003 Kurucz model. It was replaced 
# in September 2006 by a more recent spectrum described in Bohlin
# 2007, THE FUTURE OF PHOTOMETRIC, SPECTROPHOTOMETRIC AND POLARIMETRIC
# STANDARDIZATION, ASP Conference Series (in press).
#....................................................................
#
#      WAVELENGTH            FLUX
#       angstroms            flam
       1486.1   6.789716E-9
       1487.2   7.128805E-9
       1488.4   7.154846E-9
       1489.6   6.876759E-9
       1490.8   6.646135E-9
        1492.   6.627735E-9
       1493.1   6.677369E-9
       1494.3   6.752847E-9
       1495.5   7.066941E-9
       1496.7   7.522636E-9
       1497.8   7.622294E-9
        1499.   7.563533E-9
       1500.2   7.550327E-9
       1501.4   7.463502E-9
       1502.6   7.388949E-9
       1503.7   7.305345E-9
       1504.9   7.037984E-9
       1506.1   6.771230E-9
       1507.3   6.452374E-9
       1508.5   6.294845E-9
       1509.6   6.217732E-9
       1510.8   6.185432E-9
        1512.   6.352684E-9
       1513.2   6.566775E-9
       1514.4   6.681518E-9
       1515.5   6.794195E-9
       1516.7   6.854318E-9
       1517.9   7.009854E-9
       1519.1   7.386510E-9
       1520.3   7.472268E-9
       1521.4   7.136407E-9
       1522.6   6.990323E-9
       1523.8   6.860963E-9
        1525.   6.621300E-9
       1526.2   6.576003E-9
       1527.3   6.534151E-9
       1528.5   6.424226E-9
       1529.7   6.671126E-9
       1530.9   6.637443E-9
       1532.1   6.364428E-9
       1533.2   6.365874E-9
       1534.4   6.533828E-9
       1535.6   6.915652E-9
       1536.8   6.985278E-9
        1538.   7.064624E-9
       1539.1   7.199859E-9
       1540.3   7.079976E-9
       1541.5   6.916662E-9
       1542.7   6.929919E-9
       1543.9   6.968419E-9
        1545.   6.848421E-9
       1546.2   6.829043E-9
       1547.4   7.122699E-9
       1548.6   7.218197E-9
       1549.8   7.085537E-9
       1550.9   6.870692E-9
       1552.1   6.902751E-9
       1553.3   6.925884E-9
       1554.5   6.831541E-9
       1555.7   6.553221E-9
       1556.8   6.250364E-9
        1558.   6.166905E-9
       1559.2   6.127761E-9
       1560.4   6.139612E-9
       1561.6   6.390951E-9
       1562.7   6.553630E-9
       1563.9   6.617798E-9
       1565.1   6.907204E-9
       1566.3   7.030417E-9
       1567.5   6.979607E-9
       1568.6   6.742359E-9
       1569.8   6.510813E-9
        1571.   6.612371E-9
       1572.2   6.595327E-9
       1573.4   6.549577E-9
       1574.5   6.676041E-9
       1575.7   6.716281E-9
       1576.9   6.870216E-9
       1578.1   7.062361E-9
       1579.3   7.160353E-9
       1580.4   7.135920E-9
       1581.6   7.174470E-9
       1582.8   7.091875E-9
        1584.   7.054147E-9
       1585.1   7.110073E-9
       1586.3   7.008221E-9
       1587.5   7.027355E-9
       1588.7   6.999928E-9
       1589.9   7.004241E-9
        1591.   6.998311E-9
       1592.2   6.792489E-9
       1593.4   6.866459E-9
       1594.6   6.936581E-9
       1595.8   6.963452E-9
       1596.9   7.036347E-9
       1598.1   7.015879E-9
       1599.3   6.881671E-9
       1600.5   6.863169E-9
       1601.7   6.850863E-9
       1602.8   6.660765E-9
        1604.   6.782441E-9
       1605.2   6.848156E-9
       1606.4   6.909034E-9
       1607.6   6.904223E-9
       1608.7   6.961656E-9
       1609.9   6.977147E-9
       1611.1   6.908683E-9
       1612.3   6.916228E-9
       1613.5   7.015232E-9
       1614.6   6.965738E-9
       1615.8   7.115942E-9
        1617.   7.076307E-9
       1618.2   6.964659E-9
       1619.4   6.937303E-9
       1620.5   7.067440E-9
       1621.7   7.145331E-9
       1622.9   7.101216E-9
       1624.1   6.998023E-9
       1625.3   6.927425E-9
       1626.4   6.953919E-9
       1627.6   6.931336E-9
       1628.8   6.864918E-9
        1630.   6.874153E-9
       1631.2   6.877594E-9
       1632.3   6.811346E-9
       1633.5   6.801132E-9
       1634.7   6.973519E-9
       1635.9   6.939242E-9
       1637.1   6.804951E-9
       1638.2   7.020395E-9
       1639.4   7.026960E-9
       1640.6   6.826339E-9
       1641.8   6.854661E-9
        1643.   6.899220E-9
       1644.1   6.869586E-9
       1645.3   7.001061E-9
       1646.5   7.056939E-9
       1647.7   6.976135E-9
       1648.9   6.915402E-9
        1650.   6.826840E-9
       1651.2   6.631055E-9
       1652.4   6.383805E-9
       1653.6   6.121579E-9
       1654.8   5.593366E-9
       1655.9   5.245447E-9
       1657.1   5.408514E-9
       1658.3   5.691969E-9
       1659.5   6.095581E-9
       1660.7   6.161864E-9
       1661.8   6.168774E-9
        1663.   6.268781E-9
       1664.2   6.804044E-9
       1665.4   6.739019E-9
       1666.6   6.505033E-9
       1667.7   6.403334E-9
       1668.9   6.365454E-9
       1670.1   6.217079E-9
       1671.3   6.260765E-9
       1672.5   6.338098E-9
       1673.6   6.248433E-9
       1674.8   6.389523E-9
     1676.239   6.547500E-9
      1677.61   6.648600E-9
     1678.981   6.599800E-9
     1680.353   6.669700E-9
     1681.724   6.763100E-9
     1683.095   6.740000E-9
     1684.466   6.660400E-9
     1685.837   6.500100E-9
     1687.208   6.465500E-9
     1688.579   6.557200E-9
      1689.95   6.558400E-9
     1691.322   6.491200E-9
     1692.693   6.456100E-9
     1694.064   6.398600E-9
     1695.435   6.329900E-9
     1696.807   6.274800E-9
     1698.178   6.382000E-9
     1699.549   6.430900E-9
      1700.92   6.362700E-9
     1702.292   6.289200E-9
     1703.663   6.309100E-9
     1705.034   6.346300E-9
     1706.406   6.272800E-9
     1707.777   6.185700E-9
     1709.148   6.241300E-9
      1710.52   6.319500E-9
     1711.891   6.324500E-9
     1713.262   6.328600E-9
     1714.634   6.321200E-9
     1716.005   6.381300E-9
     1717.377   6.317500E-9
     1718.748   6.160600E-9
      1720.12   6.019200E-9
     1721.491   6.114800E-9
     1722.863   6.199700E-9
     1724.234   6.061100E-9
     1725.606   5.947400E-9
     1726.977   6.204600E-9
     1728.349   6.391500E-9
      1729.72   6.374000E-9
     1731.092   6.201800E-9
     1732.464   6.158300E-9
     1733.835   6.148300E-9
     1735.207   6.207100E-9
     1736.579   6.229700E-9
      1737.95   6.264200E-9
     1739.322   6.407600E-9
     1740.694   6.298500E-9
     1742.065   6.175500E-9
     1743.437   6.192900E-9
     1744.809   6.155100E-9
     1746.181   6.145200E-9
     1747.552   6.158600E-9
     1748.924   6.215700E-9
     1750.296   6.263100E-9
     1751.668   6.266400E-9
     1753.039   6.369500E-9
     1754.411   6.516900E-9
     1755.783   6.610800E-9
     1757.155   6.530600E-9
     1758.527   6.392800E-9
     1759.899   6.138300E-9
     1761.271   6.037000E-9
     1762.642   6.063500E-9
     1764.014   5.997900E-9
     1765.386   5.998300E-9
     1766.758   6.111800E-9
      1768.13   6.162900E-9
     1769.502   6.195700E-9
     1770.874   6.229400E-9
     1772.246   6.226600E-9
     1773.618   6.272900E-9
      1774.99   6.276500E-9
     1776.362   6.349500E-9
     1777.734   6.422300E-9
     1779.106   6.475400E-9
     1780.478   6.420800E-9
      1781.85   6.315100E-9
     1783.223   6.299800E-9
     1784.595   6.186800E-9
     1785.967   6.087300E-9
     1787.339   6.082400E-9
     1788.711   6.236300E-9
     1790.083   6.452000E-9
     1791.455   6.574200E-9
     1792.828   6.583700E-9
       1794.2   6.598600E-9
     1795.572   6.602400E-9
     1796.944   6.488000E-9
     1798.316   6.466400E-9
     1799.689   6.548300E-9
     1801.061   6.605600E-9
     1802.433   6.548600E-9
     1803.805   6.433000E-9
     1805.178   6.361200E-9
      1806.55   6.229400E-9
     1807.922   6.068900E-9
     1809.295   6.181700E-9
     1810.667   6.355000E-9
     1812.039   6.398500E-9
     1813.412   6.358700E-9
     1814.784   6.242800E-9
     1816.156   6.161100E-9
