# SIMPLE  =                    T / Written by IDL:  Tue Aug 19 16:14:18 2008
# BITPIX  =                  -32 / Number of bits per data pixel
# NAXIS   =                    2 / Number of data axes
# NAXIS1  =                21617 /
# NAXIS2  =                    3 /
# DATE    = '2008-08-20'         / Creation UTC (CCCC-MM-DD) date of FITS header
# NORDERS =                    1 / Number of Orders
# ORDERS  = '1       '           / Order Numbers
# NAPS    =                    1 / Number of Apertures
# XUNITS  = 'A      '           / Wavelength Units
# YUNITS  = 'ergss-1cm-2A-1'     / Flux Units
# COMMENT FITS (Flexible Image Transport System) format is defined in 'Astronomy
# COMMENT and Astrophysics', volume 376, page 359; bibcode 2001A&A...376..359H
# Converted vacuum by Feige Wang
# END
#      WAVELENGTH            FLUX    Flag
#       angstroms            flam     none
             1584.99   4.44263e-09    1.0  
             1587.96   5.56583e-09    1.0  
             1590.92   6.05048e-09    1.0  
             1593.89   6.93768e-09    1.0  
             1596.85   7.21598e-09    1.0  
  1599.8200000000002    6.4403e-09    1.0  
             1602.78    5.8724e-09    1.0  
             1605.75   5.33648e-09    1.0  
  1608.7099999999998   6.65978e-09    1.0  
             1611.68   6.85509e-09    1.0  
  1614.6399999999999   6.16492e-09    1.0  
             1617.61   7.82376e-09    1.0  
  1620.5700000000002   6.96092e-09    1.0  
             1623.54   4.68959e-09    1.0  
              1626.5   6.61642e-09    1.0  
             1629.47   5.27929e-09    1.0  
             1632.43   5.72542e-09    1.0  
  1635.3999999999999   4.59748e-09    1.0  
  1638.3600000000001   7.42923e-09    1.0  
             1641.33   6.79933e-09    1.0  
             1644.29   6.92557e-09    1.0  
  1647.2600000000002   5.96883e-09    1.0  
             1650.22   6.35806e-09    1.0  
  1653.1899999999998   6.00715e-09    1.0  
             1656.15   2.25053e-09    1.0  
  1659.1200000000001   5.98754e-09    1.0  
             1662.08   6.47185e-09    1.0  
             1665.05   7.44203e-09    1.0  
             1668.01   6.67925e-09    1.0  
             1670.98   1.68899e-09    1.0  
  1673.9399999999998   4.72898e-09    1.0  
             1676.91   6.51652e-09    1.0  
             1679.87   6.40063e-09    1.0  
             1682.84   6.50741e-09    1.0  
  1685.8000000000002   6.15095e-09    1.0  
             1688.77   6.58157e-09    1.0  
  1691.7299999999998    6.8497e-09    1.0  
              1694.7   5.89902e-09    1.0  
             1697.66   5.45998e-09    1.0  
  1700.6299999999999   5.33024e-09    1.0  
  1703.5900000000001   5.87466e-09    1.0  
             1706.56   6.47596e-09    1.0  
             1709.52   2.94441e-09    1.0  
  1712.4900000000002   6.86809e-09    1.0  
             1715.45   5.63709e-09    1.0  
  1718.4199999999998   6.40512e-09    1.0  
             1721.38    6.0968e-09    1.0  
  1724.3500000000001   5.67247e-09    1.0  
             1727.31   5.72318e-09    1.0  
             1730.28   5.58107e-09    1.0  
             1733.24   5.68963e-09    1.0  
             1736.21   6.61966e-09    1.0  
  1739.1699999999998   6.77302e-09    1.0  
             1742.14   5.82559e-09    1.0  
              1745.1   4.91767e-09    1.0  
             1748.07   4.99633e-09    1.0  
  1751.0300000000002   6.99546e-09    1.0  
              1754.0   6.81259e-09    1.0  
  1756.9599999999998   6.38267e-09    1.0  
             1759.93   5.09457e-09    1.0  
             1762.89   5.98557e-09    1.0  
             1765.86   4.63682e-09    1.0  
  1768.8200000000002   6.10669e-09    1.0  
             1771.79   5.39725e-09    1.0  
             1774.75   5.91674e-09    1.0  
             1777.72   5.81722e-09    1.0  
             1780.68   6.53177e-09    1.0  
  1783.6499999999999   6.78822e-09    1.0  
             1786.61   4.07591e-09    1.0  
  1789.5800000000002   6.62855e-09    1.0  
             1792.54   6.93574e-09    1.0  
             1795.51   6.38343e-09    1.0  
             1798.47   6.85535e-09    1.0  
             1801.44   6.87615e-09    1.0  
  1804.3999999999999   5.50497e-09    1.0  
  1807.3700000000001   4.83861e-09    1.0  
             1810.33   6.70026e-09    1.0  
              1813.3   6.74943e-09    1.0  
             1816.26   6.71669e-09    1.0  
             1819.23    6.5219e-09    1.0  
  1822.1899999999998   5.41052e-09    1.0  
             1825.16    5.5357e-09    1.0  
  1828.1200000000001   5.67203e-09    1.0  
             1831.09   5.14004e-09    1.0  
  1834.0500000000002   6.64558e-09    1.0  
             1837.02    6.2627e-09    1.0  
             1839.98   4.65151e-09    1.0  
  1842.9499999999998   4.27119e-09    1.0  
             1845.91   5.01173e-09    1.0  
  1848.8799999999999    6.2813e-09    1.0  
             1851.84   6.03934e-09    1.0  
  1854.8100000000002   4.98251e-09    1.0  
             1857.77   4.54077e-09    1.0  
  1860.7399999999998   5.80829e-09    1.0  
              1863.7    6.1268e-09    1.0  
             1866.66   5.94832e-09    1.0  
  1869.6299999999999   5.29622e-09    1.0  
  1872.5900000000001   5.42625e-09    1.0  
             1875.56   6.39551e-09    1.0  
             1878.52   5.88332e-09    1.0  
             1881.49   6.00671e-09    1.0  
             1884.45   6.03255e-09    1.0  
  1887.4199999999998   5.98768e-09    1.0  
             1890.38   4.97738e-09    1.0  
  1893.3500000000001    5.5868e-09    1.0  
             1896.31   6.35622e-09    1.0  
  1899.2800000000002   5.65094e-09    1.0  
             1902.24   5.66306e-09    1.0  
             1905.21    5.0719e-09    1.0  
  1908.1699999999998    5.3525e-09    1.0  
             1911.14   5.31881e-09    1.0  
              1914.1   5.81773e-09    1.0  
             1917.07   5.24008e-09    1.0  
             1920.03   6.02487e-09    1.0  
              1923.0   5.12575e-09    1.0  
  1925.9599999999998   4.46711e-09    1.0  
             1928.93   5.35135e-09    1.0  
             1931.89   6.06113e-09    1.0  
             1934.86    5.3805e-09    1.0  
  1937.8200000000002   5.53413e-09    1.0  
             1940.79   5.61865e-09    1.0  
             1943.75   5.90817e-09    1.0  
             1946.72   5.74243e-09    1.0  
             1949.68   5.26717e-09    1.0  
  1952.6499999999999   5.45034e-09    1.0  
  1955.6100000000001   5.27827e-09    1.0  
  1958.5800000000002   5.84868e-09    1.0  
             1961.54   6.13335e-09    1.0  
  1964.5099999999998   5.46474e-09    1.0  
             1967.47   5.75712e-09    1.0  
             1970.44    5.2346e-09    1.0  
  1973.3999999999999   6.17451e-09    1.0  
  1976.3700000000001   6.07566e-09    1.0  
             1979.33    4.6703e-09    1.0  
              1982.3   6.06456e-09    1.0  
             1985.26   5.67918e-09    1.0  
             1988.23   6.11493e-09    1.0  
  1991.1899999999998   4.81381e-09    1.0  
             1994.16   5.67033e-09    1.0  
  1997.1200000000001   5.67521e-09    1.0  
  2000.7376033727173   5.08985e-09    1.0  
  2003.6981365691643   5.67055e-09    1.0  
  2006.6686734018242   5.81715e-09    1.0  
  2009.6292102349407   5.26725e-09    1.0  
  2012.5997506752851   4.85559e-09    1.0  
   2015.560291063464   5.50657e-09    1.0  
   2018.530835030917    5.3571e-09    1.0  
  2021.4913788951335     5.589e-09    1.0  
   2024.461926311661   5.37595e-09    1.0  
  2027.4224735753687   5.77605e-09    1.0  
  2030.3930243653715   4.59249e-09    1.0  
  2033.3535749544053   4.30591e-09    1.0  
  2036.3241290446242   5.45389e-09    1.0  
     2039.2846828871   5.50757e-09    1.0  
  2042.2552402065216   5.05623e-09    1.0  
   2045.215797232752   5.54198e-09    1.0  
   2048.186357712522   5.83727e-09    1.0  
  2051.1469178549287   5.79126e-09    1.0  
   2054.117481428265   5.73897e-09    1.0  
   2057.078044621293   5.21834e-09    1.0  
  2060.0486112234103   4.94947e-09    1.0  
  2063.0091774034563   4.14005e-09    1.0  
   2065.979746971483   5.74234e-09    1.0  
  2068.9403160768193   4.92252e-09    1.0  
   2071.910888549731   5.55679e-09    1.0  
  2074.8714605204295   5.72207e-09    1.0  
  2077.8420358389776   5.77857e-09    1.0  
   2080.802610616848   5.64729e-09    1.0  
  2083.7731887234913   5.63824e-09    1.0  
  2086.7337662520144   5.48376e-09    1.0  
  2089.7043470908575   5.53388e-09    1.0  
  2092.6649273151247   4.78427e-09    1.0  
   2095.635510831859   5.11344e-09    1.0  
   2098.596093698511   4.09525e-09    1.0  
   2101.566679840353   4.56737e-09    1.0  
  2104.5272652975254   4.75923e-09    1.0  
   2107.497854013166   5.25701e-09    1.0  
  2110.4584420104356   4.93281e-09    1.0  
   2113.429033249983   5.26244e-09    1.0  
   2116.389623738316   5.24823e-09    1.0  
  2119.3602174532493   4.74058e-09    1.0  
    2122.32081038495   4.57555e-09    1.0  
   2125.291406528068   4.29339e-09    1.0  
  2128.2520018567357   4.80181e-09    1.0  
  2131.2226003821115   4.24096e-09    1.0  
   2134.183198062593   4.12038e-09    1.0  
    2137.15379892553   4.56864e-09    1.0  
   2140.114398913876   4.59245e-09    1.0  
   2143.085002070865   4.55089e-09    1.0  
  2146.0456043242884   5.45948e-09    1.0  
    2149.01620973297   4.68541e-09    1.0  
   2151.976814209809   3.28623e-09    1.0  
   2154.947421828927   4.83399e-09    1.0  
   2157.908028488607   5.21709e-09    1.0  
   2160.868636223012   4.51664e-09    1.0  
  2163.8392470809717   4.71955e-09    1.0  
  2166.8098590014506   4.37981e-09    1.0  
   2169.770469909241   4.65619e-09    1.0  
  2172.7310818535548   4.77386e-09    1.0  
   2175.701696897738   4.23336e-09    1.0  
  2178.6623108909403   4.41297e-09    1.0  
  2181.6329279726983   4.70905e-09    1.0  
   2184.593543978667   4.34071e-09    1.0  
  2187.5641630622113    4.5847e-09    1.0  
   2190.524781045728   4.81384e-09    1.0  
   2193.495402096162   3.90925e-09    1.0  
  2196.4560220228805   5.29517e-09    1.0  
   2199.426645006171   5.07348e-09    1.0  
  2202.3872668425906   4.40303e-09    1.0  
  2205.3578917255363   4.95691e-09    1.0  
   2208.318515438976    4.8651e-09    1.0  
  2211.2891421891877   3.96669e-09    1.0  
  2214.2497677477604   4.68553e-09    1.0  
  2217.2203963336287   5.03557e-09    1.0  
   2220.181023706213   4.98499e-09    1.0  
  2223.1516540968905   4.97388e-09    1.0  
   2226.112283253109   4.18311e-09    1.0  
   2229.082915418481   4.73028e-09    1.0  
  2232.0435463286803   4.62046e-09    1.0  
   2235.014180239345   4.70032e-09    1.0  
  2237.9748128745696   4.38673e-09    1.0  
   2240.945448501817   5.00874e-09    1.0  
   2243.906082833788   4.30014e-09    1.0  
   2246.876720149577   4.42444e-09    1.0  
   2249.837356150674   4.34428e-09    1.0  
   2252.807995127613    4.1533e-09    1.0  
  2255.7686327708548   4.37024e-09    1.0  
   2258.739273382182   4.10404e-09    1.0  
  2261.6999126412034   3.97604e-09    1.0  
    2264.67055486077   4.57561e-09    1.0  
   2267.631195709808   3.88594e-09    1.0  
  2270.6018395120577   4.83401e-09    1.0  
  2273.5624819259297   4.59541e-09    1.0  
  2276.5331272858825   4.64152e-09    1.0  
  2279.4937712399746   4.34347e-09    1.0  
  2282.4644181332083    4.8876e-09    1.0  
   2285.425063603454   3.95462e-09    1.0  
  2288.3957120060904   4.18959e-09    1.0  
   2291.356358968957   4.82996e-09    1.0  
   2294.327008857647   4.25905e-09    1.0  
  2297.2876572901187   4.36464e-09    1.0  
  2300.2583086420227   4.30328e-09    1.0  
  2303.2189585215892   4.79236e-09    1.0  
  2306.1896113143675   3.92809e-09    1.0  
   2309.150262619005   3.68225e-09    1.0  
   2312.120916830802   4.00127e-09    1.0  
   2315.081569538964    3.6759e-09    1.0  
   2318.052225148392   4.48854e-09    1.0  
  2321.0128792389937   3.95857e-09    1.0  
  2323.9835362251233   4.55589e-09    1.0  
    2326.94419167753   3.49438e-09    1.0  
  2329.9148500198767    4.6702e-09    1.0  
   2332.875506813889    4.2628e-09    1.0  
  2335.8461664924007   3.21412e-09    1.0  
  2338.8068246082444   3.56826e-09    1.0  
    2341.77748560329   3.44336e-09    1.0  
  2344.7381450216044   2.55641e-09    1.0  
    2347.70880731396   3.80738e-09    1.0  
  2350.6694680157875   4.67378e-09    1.0  
  2353.6401315866287   4.42361e-09    1.0  
  2356.6007935534017   3.35565e-09    1.0  
   2359.571458384291   4.47066e-09    1.0  
  2362.5321215978242   3.93552e-09    1.0  
  2365.5027876707013   4.42835e-09    1.0  
  2368.4634521131798   3.83303e-09    1.0  
  2371.4341194103517   3.29796e-09    1.0  
    2374.39478506432   3.94721e-09    1.0  
  2377.3654535684514   4.14078e-09    1.0  
   2380.326120416806   2.53701e-09    1.0  
    2383.29679011091   1.24135e-09    1.0  
  2386.2574581368913   3.76451e-09    1.0  
   2389.228129004318   3.27895e-09    1.0  
     2392.1887981915   4.02964e-09    1.0  
   2395.159470215932   3.82591e-09    1.0  
  2398.1201405482116   3.92543e-09    1.0  
  2401.0908137136507   3.12442e-09    1.0  
   2404.051485175243   3.91587e-09    1.0  
   2407.022159466008   3.68241e-09    1.0  
  2409.9828320414367   3.59904e-09    1.0  
   2412.953507442148   3.96362e-09    1.0  
  2415.9141811162367   4.05851e-09    1.0  
   2418.884857611816   3.43576e-09    1.0  
  2421.8455323696808   4.30302e-09    1.0  
  2424.8162099453393    3.8599e-09    1.0  
  2427.7768857723836   4.44969e-09    1.0  
  2430.7475644136152   3.17622e-09    1.0  
  2433.7082412955197   3.31503e-09    1.0  
  2436.6689186986914   3.88972e-09    1.0  
  2439.6395989108128   4.25389e-09    1.0  
  2442.6102796407713   4.13756e-09    1.0  
   2445.570958590521   3.68822e-09    1.0  
   2448.531638047845   3.46261e-09    1.0  
  2451.5023203074234   3.07242e-09    1.0  
   2454.463000771601    3.8538e-09    1.0  
   2457.433684034808   4.16334e-09    1.0  
  2460.3943654926916   3.22762e-09    1.0  
   2463.365049746458   3.62636e-09    1.0  
   2466.325732185145   3.33113e-09    1.0  
   2469.296417416643   3.66334e-09    1.0  
  2472.2571008234668   3.80969e-09    1.0  
   2475.227787020105   4.45649e-09    1.0  
  2478.1884713826294   3.97121e-09    1.0  
  2481.1591585320457   3.62546e-09    1.0  
   2484.119843838063   3.19224e-09    1.0  
   2487.090531928119   4.28373e-09    1.0  
  2490.0512181656422    4.3955e-09    1.0  
   2493.021907184418   3.94515e-09    1.0  
  2495.9825943416754   4.28426e-09    1.0  
   2498.953284277466   3.32426e-09    1.0  
  2501.9139723428966   4.28695e-09    1.0  
   2504.884663184207   3.11047e-09    1.0  
  2507.8453521464553    3.5561e-09    1.0  
  2510.8160438819923   3.93029e-09    1.0  
  2513.7767337299047   3.39352e-09    1.0  
  2516.7474263485756   4.42252e-09    1.0  
   2519.708117071193   4.32249e-09    1.0  
  2522.6788105621013   3.70226e-09    1.0  
    2525.63950214866   3.65359e-09    1.0  
   2528.610196501097   3.05285e-09    1.0  
   2531.570888941018   3.47652e-09    1.0  
