|      wave | amplitude | ion | NIST | Instr |                         Source |
| 11519.417 |  6.14e-10 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11538.706 |     413.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11544.848 |     0.236 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11565.288 |     160.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11567.959 |   0.00695 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11569.273 |   0.00695 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11575.903 |    0.0107 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  11577.98 |    0.0107 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11591.847 |     455.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11627.826 |     130.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|   11651.0 |     321.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11671.947 |   0.00068 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11696.254 |      76.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11715.795 |     167.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11716.507 |     167.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  11770.65 |      33.6 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11788.495 |      67.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11789.248 |  7.88e-05 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11799.405 |  1.39e-05 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11851.176 |      11.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11851.711 |      11.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11865.919 |      21.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11867.087 |      21.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11900.425 |   3.4e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11902.494 |   3.4e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11906.466 |  4.92e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11909.467 |  4.92e-06 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11938.036 |      3.08 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11938.766 |      3.08 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11950.868 |  1.91e-07 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11952.418 |       5.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11967.885 |      5.31 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11968.927 |      19.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11970.777 |      2.99 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11973.451 |      10.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11974.444 |     0.675 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11975.914 |      59.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11983.237 |      29.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  11983.41 |      29.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11985.088 |     0.123 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
